"","date","count","","","","","","","","","","","","","","","","","","","","","","","","","","max","","","","","","","","","","","","","","","","","","","","","","","","","","min","","","","","","","","","","","","","","","","","","","","","","","","","","mean","","","","","","","","","","","","","","","","","","","","","","","","","","std","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","5/12/2015","0","0","0","0","0","3062","0","6","11","0","0","0","0","6","11","0","5296","0","0","0","0","0","0","0","0","0","","","","","","86229","","86093","86065","","","","","86093","86065","","86056","","","","","","","","","","","","","","","1100","","5554","2751","","","","","5554","2751","","1107","","","","","","","","","","","","","","","38381.260613978","","63235.666666667","69595.636363636","","","","","63235.666666667","69595.636363636","","75618.484327795","","","","","","","","","","","","","","","27506.775088952","","30969.507368808","22408.863033508","","","","","30969.507368808","22408.863033508","","9423.9470613259","","","","","","","","",""
"10","5/13/2015","0","0","0","0","0","2340","0","8","9","0","0","0","0","9","11","0","98","0","0","0","0","0","0","0","0","0","","","","","","81501","","72553","72948","","","","","72553","72962","","85481","","","","","","","","","","","","","","","676","","10164","5110","","","","","10164","5110","","2758","","","","","","","","","","","","","","","39633.091025641","","30076.5","35278.444444444","","","","","30139.333333333","42091.181818182","","55087.295918367","","","","","","","","","","","","","","","19575.384002613","","23901.060185691","29691.560750115","","","","","22358.189226769","30578.201767986","","23560.374203795","","","","","","","","",""
"11","5/14/2015","0","0","0","0","0","3130","0","7","8","0","0","0","0","7","8","0","600","0","0","0","0","0","0","0","0","0","","","","","","79746","","60711","61186","","","","","60711","61186","","85516","","","","","","","","","","","","","","","2066","","2050","53519","","","","","2050","53519","","893","","","","","","","","","","","","","","","41375.751118211","","49357.571428571","58829.25","","","","","49357.571428571","58829.25","","43512.943333333","","","","","","","","","","","","","","","25796.132496741","","21677.412705834","3291.3505586613","","","","","21677.412705834","3291.3505586613","","24470.379460585","","","","","","","","",""
"12","5/15/2015","0","0","0","0","0","1552","0","6","9","0","0","0","0","6","9","1","539","0","0","0","0","0","0","0","0","0","","","","","","62725","","62737","50940","","","","","62737","50940","","84819","","","","","","","","","","","","","","","2224","","2209","5126","","","","","2209","5126","","1159","","","","","","","","","","","","","","","26944.991623711","","49859.166666667","36813.444444444","","","","","49859.166666667","36813.444444444","","41340.716141002","","","","","","","","","","","","","","","20241.592636186","","24282.2254451","14492.774122913","","","","","24282.2254451","14492.774122913","","25320.906504676","","","","","","","","",""
"13","5/16/2015","0","0","0","0","0","3572","0","4","2","0","0","0","0","4","2","0","453","0","0","0","0","0","0","0","0","0","","","","","","82896","","","","","","","","","","","85542","","","","","","","","","","","","","","","3390","","","","","","","","","","","1411","","","","","","","","","","","","","","","38312.814389698","","","","","","","","","","","44418.540838852","","","","","","","","","","","","","","","25147.873091207","","","","","","","","","","","24274.667292202","","","","","","","","",""
"14","5/17/2015","0","0","0","0","0","1501","0","1","5","0","0","0","0","1","5","0","487","0","0","0","0","0","0","0","0","0","","","","","","83662","","","56367","","","","","","56367","","84429","","","","","","","","","","","","","","","1158","","","83","","","","","","83","","124","","","","","","","","","","","","","","","39984.734177215","","","31232.4","","","","","","31232.4","","42804.661190965","","","","","","","","","","","","","","","14898.044614936","","","26579.400083523","","","","","","26579.400083523","","25567.971192236","","","","","","","","",""
"15","5/18/2015","0","0","0","0","0","2617","0","2","9","0","0","0","0","2","10","0","654","0","0","0","8","0","0","0","0","0","","","","","","76894","","","76882","","","","","","76882","","86319","","","","56171","","","","","","","","","","","8133","","","10709","","","","","","10709","","150","","","","54303","","","","","","","","","","","40111.882307986","","","49741.333333333","","","","","","46416","","44427.301223241","","","","55345.125","","","","","","","","","","","28067.144970458","","","24736.798716689","","","","","","25583.152976563","","23423.312635825","","","","728.65383462539","","","","",""
"16","5/19/2015","0","0","0","0","0","1847","0","3","1","0","1","0","0","3","1","0","1042","0","0","0","0","0","0","0","0","0","","","","","","86093","","","","","","","","","","","86177","","","","","","","","","","","","","","","6067","","","","","","","","","","","109","","","","","","","","","","","","","","","34707.473199783","","","","","","","","","","","28283.765834933","","","","","","","","","","","","","","","22382.166070557","","","","","","","","","","","25682.859106486","","","","","","","","",""
"17","5/20/2015","0","0","0","0","0","2612","0","2","0","0","0","0","0","2","0","0","2168","0","0","0","0","0","0","0","0","0","","","","","","73687","","","","","","","","","","","85962","","","","","","","","","","","","","","","880","","","","","","","","","","","104","","","","","","","","","","","","","","","39437.553981623","","","","","","","","","","","20807.745387454","","","","","","","","","","","","","","","29762.174276929","","","","","","","","","","","17314.289760597","","","","","","","","",""
"18","5/21/2015","0","0","0","0","0","2157","0","5","3","0","0","0","0","5","3","0","467","0","0","0","0","0","0","0","0","0","","","","","","81219","","75002","","","","","","75002","","","85134","","","","","","","","","","","","","","","5863","","37932","","","","","","37932","","","179","","","","","","","","","","","","","","","57429.890125174","","54046.8","","","","","","54046.8","","","42793.381156317","","","","","","","","","","","","","","","15525.629336534","","15546.293214139","","","","","","15546.293214139","","","25248.879922727","","","","","","","","",""
"19","5/22/2015","0","0","0","0","0","2515","0","3","1","0","0","0","1","3","1","0","660","0","0","0","0","0","0","0","0","0","","","","","","83684","","","","","","","","","","","84894","","","","","","","","","","","","","","","2765","","","","","","","","","","","1064","","","","","","","","","","","","","","","50067.241749503","","","","","","","","","","","39994.753030303","","","","","","","","","","","","","","","28550.761160524","","","","","","","","","","","21530.304926375","","","","","","","","",""
"20","5/23/2015","0","0","0","0","0","2223","0","1","1","0","0","0","0","1","1","2","451","0","0","0","0","0","0","0","0","0","","","","","","80136","","","","","","","","","","","84547","","","","","","","","","","","","","","","14899","","","","","","","","","","","1257","","","","","","","","","","","","","","","49489.906432749","","","","","","","","","","","42859.290465632","","","","","","","","","","","","","","","11216.575069595","","","","","","","","","","","24863.571335901","","","","","","","","",""
"21","5/24/2015","0","0","0","0","0","1584","0","5","10","0","0","0","1","5","10","1","508","0","0","0","0","0","0","0","0","0","","","","","","83420","","83023","83410","","","","","83023","83410","","85668","","","","","","","","","","","","","","","1821","","19975","2626","","","","","19975","2626","","188","","","","","","","","","","","","","","","48332.645833333","","65482.8","56159.3","","","","","65482.8","56159.3","","40765.720472441","","","","","","","","","","","","","","","29823.333167516","","25687.375152008","31628.140216691","","","","","25687.375152008","31628.140216691","","25486.228598639","","","","","","","","",""
"22","5/25/2015","0","0","0","0","0","1582","0","1","11","0","0","0","0","1","11","2","494","0","0","0","0","0","0","0","0","0","","","","","","84334","","","82630","","","","","","82630","","86335","","","","","","","","","","","","","","","17625","","","21286","","","","","","21286","","1367","","","","","","","","","","","","","","","52148.927939317","","","49886","","","","","","49886","","39332.512145749","","","","","","","","","","","","","","","10843.660433758","","","20496.333447717","","","","","","20496.333447717","","24644.85590699","","","","","","","","",""
"23","5/26/2015","0","0","0","0","0","1942","0","2","3","0","0","0","0","2","3","0","506","0","0","0","0","0","0","0","0","0","","","","","","82138","","","","","","","","","","","85613","","","","","","","","","","","","","","","2064","","","","","","","","","","","883","","","","","","","","","","","","","","","19033.943872297","","","","","","","","","","","44509.772727273","","","","","","","","","","","","","","","16883.381064662","","","","","","","","","","","24553.855072887","","","","","","","","",""
"24","5/27/2015","0","0","0","0","0","1825","0","3","7","0","0","1","0","3","7","0","512","0","0","0","0","0","0","0","0","0","","","","","","84885","","","78951","","","","","","78951","","84797","","","","","","","","","","","","","","","3003","","","27013","","","","","","27013","","317","","","","","","","","","","","","","","","47167.075068493","","","57611.714285714","","","","","","57611.714285714","","42348.322265625","","","","","","","","","","","","","","","25082.004889168","","","17913.152613971","","","","","","17913.152613971","","25219.414504402","","","","","","","","",""
"25","5/28/2015","0","0","0","0","0","2335","0","2","1","0","0","0","0","2","1","0","1148","0","0","0","0","0","0","0","0","0","","","","","","85314","","","","","","","","","","","85650","","","","","","","","","","","","","","","2676","","","","","","","","","","","391","","","","","","","","","","","","","","","48544.711777302","","","","","","","","","","","53747.043554007","","","","","","","","","","","","","","","29645.426135268","","","","","","","","","","","20175.71974328","","","","","","","","",""
"26","5/29/2015","0","0","0","0","0","2093","0","4","6","3","0","1","0","4","7","2","395","0","0","0","0","0","0","0","0","0","","","","","","78359","","","18831","","","","","","18867","","84066","","","","","","","","","","","","","","","85","","","73","","","","","","73","","2487","","","","","","","","","","","","","","","44725.02006689","","","8475.5","","","","","","9960","","41006.782278481","","","","","","","","","","","","","","","25571.060744371","","","5981.678284562","","","","","","6726.3098600446","","22731.425328835","","","","","","","","",""
"27","5/30/2015","0","0","0","0","0","354","0","4","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","40312","","","","","","","","40228","","","","","","","","","","","","","","","","","","37221","","","","","","","","40081","","","","","","","","","","","","","","","","","","38301.43220339","","","","","","","","40142.111111111","","","","","","","","","","","","","","","","","","1397.7053421361","","","","","","","","64.692434728576","","","","","","","","","","","",""
"28","6/2/2015","0","0","0","0","0","1564","0","2","5","0","0","0","0","2","5","0","18","0","0","0","0","0","0","0","0","0","","","","","","80437","","","74981","","","","","","74981","","84832","","","","","","","","","","","","","","","32386","","","38408","","","","","","38408","","39558","","","","","","","","","","","","","","","62001.349744245","","","65415.4","","","","","","65415.4","","61140.166666667","","","","","","","","","","","","","","","20385.816567018","","","15860.281658911","","","","","","15860.281658911","","13189.844097772","","","","","","","","",""
"29","6/3/2015","0","0","0","0","0","1481","0","2","10","0","0","0","0","2","10","0","1381","0","0","0","0","0","0","0","0","0","","","","","","81308","","","70689","","","","","","70689","","80428","","","","","","","","","","","","","","","990","","","967","","","","","","967","","1726","","","","","","","","","","","","","","","47842.979743417","","","57792.3","","","","","","57792.3","","53131.741491673","","","","","","","","","","","","","","","12119.94626263","","","24432.954949549","","","","","","24432.954949549","","14016.029399463","","","","","","","","",""
"30","6/4/2015","2","0","0","0","0","2901","0","34","6","0","0","0","0","34","6","0","468","0","0","0","0","0","0","0","0","0","","","","","","85706","","60068","85677","","","","","60068","85677","","85129","","","","","","","","","","","","","","","12516","","12497","16609","","","","","12497","16609","","13297","","","","","","","","","","","","","","","45797.314719062","","26909.794117647","55006.333333333","","","","","26909.764705882","55006.333333333","","62091.856837607","","","","","","","","","","","","","","","24392.067236308","","6743.262522042","30845.108809448","","","","","6743.2732140948","30845.108809448","","17465.139848941","","","","","","","","",""
"31","6/5/2015","0","0","0","0","0","1978","0","24","11","0","0","3","1","24","11","0","1738","0","0","0","0","0","0","0","0","0","","","","","","62134","","41061","62046","","","","","41061","62045","","86366","","","","","","","","","","","","","","","1295","","1290","1213","","","","","1290","1213","","2060","","","","","","","","","","","","","","","38893.325581395","","29703.416666667","26671.909090909","","","","","29703.375","26671.818181818","","41129.85155351","","","","","","","","","","","","","","","20331.620568265","","12609.234472907","16166.646983556","","","","","12609.273953558","16166.42817581","","11652.655094464","","","","","","","","",""
"32","6/6/2015","0","0","0","0","1","2282","0","4","8","0","0","2","0","4","8","0","1546","0","0","0","0","0","0","0","0","0","","","","","","80860","","","83333","","","","","","83333","","84292","","","","","","","","","","","","","","","18867","","","22098","","","","","","22098","","63","","","","","","","","","","","","","","","46659.622699386","","","50937.625","","","","","","50937.625","","55057.173997413","","","","","","","","","","","","","","","25322.175242379","","","30805.842743301","","","","","","30805.842743301","","19183.47446678","","","","","","","","",""
"33","6/7/2015","0","0","0","0","0","1821","0","7","9","0","0","4","0","7","9","0","2036","0","0","0","0","0","0","0","0","0","","","","","","81419","","70586","28632","","","","","70586","28632","","86317","","","","","","","","","","","","","","","3986","","3978","10713","","","","","3978","10713","","480","","","","","","","","","","","","","","","41918.940691927","","33716","16071.555555556","","","","","33716","16071.555555556","","36385.677308448","","","","","","","","","","","","","","","21343.701156733","","19573.142840808","5606.3765729549","","","","","19573.142840808","5606.3765729549","","19743.668406254","","","","","","","","",""
"34","6/8/2015","1","0","0","0","0","2430","0","7","5","0","0","0","1","7","5","0","1901","0","0","0","0","0","0","0","0","0","","","","","","86018","","81013","86012","","","","","81013","86012","","84607","","","","","","","","","","","","","","","6620","","15964","55900","","","","","15964","55900","","394","","","","","","","","","","","","","","","44027.136625514","","47513.571428571","70616.4","","","","","47513.571428571","70616.4","","26759.279852709","","","","","","","","","","","","","","","26047.490122071","","24880.945445978","12665.627927584","","","","","24880.945445978","12665.627927584","","15224.854072434","","","","","","","","",""
"35","6/9/2015","0","1","0","0","0","1825","0","3","4","0","0","0","0","3","4","0","587","0","0","0","0","0","0","0","0","0","","","","","","85142","","","","","","","","","","","86315","","","","","","","","","","","","","","","1940","","","","","","","","","","","1951","","","","","","","","","","","","","","","47820.408219178","","","","","","","","","","","51111.33560477","","","","","","","","","","","","","","","24437.479996838","","","","","","","","","","","23029.871538208","","","","","","","","",""
"36","6/10/2015","1","0","0","0","0","2357","0","1","2","0","0","1","0","1","2","0","576","0","0","0","0","0","0","0","0","0","","","","","","80646","","","","","","","","","","","84496","","","","","","","","","","","","","","","5480","","","","","","","","","","","130","","","","","","","","","","","","","","","52573.498515062","","","","","","","","","","","45311.328125","","","","","","","","","","","","","","","26907.565444403","","","","","","","","","","","21650.402987192","","","","","","","","",""
"37","6/11/2015","3","0","0","0","0","2814","0","3","11","0","0","0","0","3","11","8","1086","0","0","0","0","0","0","0","0","0","","","","","","84057","","","84053","","","","","","84053","20053","85518","","","","","","","","","","","","","","","2532","","","4624","","","","","","4624","12176","760","","","","","","","","","","","","","","","33446.528073916","","","28645.727272727","","","","","","28645.727272727","14299.25","38284.150092081","","","","","","","","","","","","","","","23180.661412337","","","34340.65253629","","","","","","34340.65253629","3555.7433118829","16277.174746884","","","","","","","","",""
"38","6/12/2015","2","1","0","0","1","2687","0","2","14","0","0","0","0","2","16","0","667","0","0","0","0","0","0","0","0","0","","","","","","78370","","","77762","","","","","","77762","","84926","","","","","","","","","","","","","","","6668","","","33019","","","","","","33019","","28","","","","","","","","","","","","","","","44631.618161518","","","54138.857142857","","","","","","54012.875","","48810.949025487","","","","","","","","","","","","","","","29729.546386526","","","17863.124680823","","","","","","16633.226814121","","22924.073297583","","","","","","","","",""
"39","6/13/2015","0","0","0","0","0","2263","0","6","16","1","0","0","0","6","17","0","453","0","0","0","0","0","0","0","0","0","","","","","","85989","","80892","82931","","","","","80892","82931","","86069","","","","","","","","","","","","","","","14495","","21605","21603","","","","","21605","21603","","0","","","","","","","","","","","","","","","50068.275740168","","43902.5","53401.0625","","","","","43902.5","52530.529411765","","42718.114790287","","","","","","","","","","","","","","","14515.309345609","","20724.655893404","21868.3255005","","","","","20724.655893404","21475.980885974","","25507.460366781","","","","","","","","",""
"40","6/14/2015","3","0","0","0","0","2810","0","1","2","0","0","0","0","1","2","0","448","0","0","0","0","0","0","0","0","0","","","","","","80491","","","","","","","","","","","83964","","","","","","","","","","","","","","","146","","","","","","","","","","","609","","","","","","","","","","","","","","","48525.913523132","","","","","","","","","","","41982.600446428","","","","","","","","","","","","","","","26291.413879033","","","","","","","","","","","24465.116970569","","","","","","","","",""
"41","6/15/2015","0","0","0","0","0","2938","0","3","1","0","0","0","0","5","1","0","456","0","0","0","0","0","0","0","0","0","","","","","","85494","","","","","","","","41619","","","84331","","","","","","","","","","","","","","","17734","","","","","","","","17718","","","291","","","","","","","","","","","","","","","61104.236215112","","","","","","","","24090","","","42194.173245614","","","","","","","","","","","","","","","21751.872367281","","","","","","","","10377.476138252","","","25100.356287534","","","","","","","","",""
"42","6/16/2015","3","0","0","0","0","2284","0","2","8","0","0","0","0","2","8","0","439","0","0","0","0","0","0","0","0","0","","","","","","82692","","","82675","","","","","","82675","","86028","","","","","","","","","","","","","","","487","","","11621","","","","","","11621","","1301","","","","","","","","","","","","","","","42398.201401051","","","37539.5","","","","","","37539.5","","44052.776765376","","","","","","","","","","","","","","","25322.616991894","","","25317.037199708","","","","","","25317.037199708","","25543.94754127","","","","","","","","",""
"43","6/17/2015","0","0","0","0","0","1025","0","2","5","0","0","0","0","2","5","0","429","0","0","0","0","0","0","0","0","0","","","","","","82768","","","82767","","","","","","82767","","85471","","","","","","","","","","","","","","","5772","","","23779","","","","","","23779","","2881","","","","","","","","","","","","","","","31628.836097561","","","39205.8","","","","","","39205.8","","44772.491841492","","","","","","","","","","","","","","","22069.989403265","","","24494.738551371","","","","","","24494.738551371","","24807.600532789","","","","","","","","",""
"44","6/18/2015","3","0","0","0","0","3089","0","7","6","0","0","0","1","7","6","0","432","0","0","0","0","0","0","0","0","0","","","","","","85855","","77737","77794","","","","","77737","77794","","84330","","","","","","","","","","","","","","","3252","","14599","3250","","","","","14599","3250","","4573","","","","","","","","","","","","","","","53133.36031078","","48423.285714286","24899.166666667","","","","","48423.285714286","24899.166666667","","45675.164351852","","","","","","","","","","","","","","","25897.967751718","","27725.574407721","27443.846759641","","","","","27725.574407721","27443.846759641","","23532.643109815","","","","","","","","",""
"45","6/19/2015","0","0","0","0","0","1486","0","2","3","0","0","0","0","2","3","0","471","0","0","0","0","0","0","0","0","0","","","","","","82454","","","","","","","","","","","85391","","","","","","","","","","","","","","","5828","","","","","","","","","","","376","","","","","","","","","","","","","","","50810.454912517","","","","","","","","","","","43900.815286624","","","","","","","","","","","","","","","14972.541684607","","","","","","","","","","","25084.877183103","","","","","","","","",""
"46","6/20/2015","1","0","0","0","0","2311","0","6","23","0","0","0","0","6","23","0","458","0","0","0","0","0","0","0","0","0","","","","","","81641","","63069","81607","","","","","63069","81607","","83647","","","","","","","","","","","","","","","8812","","20138","15610","","","","","20138","15610","","110","","","","","","","","","","","","","","","45277.379056685","","53705.833333333","49891.260869565","","","","","53705.833333333","49891.260869565","","42435.650655022","","","","","","","","","","","","","","","27111.867440141","","16498.089918735","20735.68699394","","","","","16498.089918735","20735.68699394","","24429.966014163","","","","","","","","",""
"47","6/21/2015","2","0","0","0","0","50491","0","5","7","0","0","0","0","5","7","0","415","0","0","0","0","0","0","0","0","0","","","","","","84447","","76945","60607","","","","","76945","60607","","76397","","","","","","","","","","","","","","","849","","14698","836","","","","","14698","836","","110","","","","","","","","","","","","","","","79271.962211087","","50892.8","38658.857142857","","","","","50892.8","38658.857142857","","39743.322891566","","","","","","","","","","","","","","","8600.2077791091","","29584.611045271","21829.395589652","","","","","29584.611045271","21829.395589652","","22594.593721752","","","","","","","","",""
"48","6/22/2015","0","0","0","0","0","2609","0","1","6","0","0","0","1","1","8","2","268","0","0","0","0","0","0","0","0","0","","","","","","81105","","","44030","","","","","","44030","","85516","","","","","","","","","","","","","","","49","","","1547","","","","","","1547","","13343","","","","","","","","","","","","","","","43766.603296282","","","15644.166666667","","","","","","16195.125","","58904.75","","","","","","","","","","","","","","","38058.887699917","","","15688.299479761","","","","","","13298.222367106","","16097.422781634","","","","","","","","",""
"49","6/23/2015","0","0","0","0","0","1650","0","4","9","0","0","0","0","4","9","0","497","0","0","0","0","0","0","0","0","0","","","","","","69457","","","69374","","","","","","69374","","85919","","","","","","","","","","","","","","","7089","","","22645","","","","","","22645","","932","","","","","","","","","","","","","","","45569.088484848","","","27873.333333333","","","","","","27873.333333333","","43535.764587525","","","","","","","","","","","","","","","16899.380049758","","","15562.817169459","","","","","","15562.817169459","","24589.136075233","","","","","","","","",""
"50","6/24/2015","0","0","0","0","0","2554","0","2","16","0","0","0","0","4","16","0","480","0","0","0","0","0","0","0","0","0","","","","","","84796","","","84308","","","","","","84308","","86398","","","","","","","","","","","","","","","3796","","","13800","","","","","","13800","","166","","","","","","","","","","","","","","","53541.019968676","","","68929.1875","","","","","","68929.1875","","42683.820833333","","","","","","","","","","","","","","","26697.596042243","","","24951.964476353","","","","","","24951.964476353","","24850.413077751","","","","","","","","",""
"51","6/25/2015","0","0","0","0","0","1608","0","4","8","0","0","0","0","4","9","0","463","0","0","0","0","0","0","0","0","0","","","","","","84717","","","83125","","","","","","83125","","85209","","","","","","","","","","","","","","","2112","","","6291","","","","","","6291","","2","","","","","","","","","","","","","","","47649.970149254","","","56506.25","","","","","","56391.333333333","","42513.758099352","","","","","","","","","","","","","","","22631.01041318","","","26678.481498605","","","","","","24957.8155244","","23642.510618734","","","","","","","","",""
"52","6/26/2015","0","0","0","0","0","2129","0","2","9","0","0","0","0","2","9","3","422","0","0","0","0","0","0","0","0","0","","","","","","80752","","","75578","","","","","","75578","","85858","","","","","","","","","","","","","","","11798","","","11784","","","","","","11784","","712","","","","","","","","","","","","","","","51630.441991545","","","35102.777777778","","","","","","35102.777777778","","42424.661137441","","","","","","","","","","","","","","","27621.552360913","","","24193.497849514","","","","","","24193.497849514","","24881.273697957","","","","","","","","",""
"53","6/27/2015","1","0","0","0","1","2192","0","3","32","0","0","0","0","4","35","0","363","0","0","0","0","0","0","0","0","0","","","","","","73944","","","73924","","","","","","73924","","71583","","","","","","","","","","","","","","","5162","","","6793","","","","","","6793","","1347","","","","","","","","","","","","","","","40973.175182482","","","52102.59375","","","","","","48497.685714286","","38381.842975207","","","","","","","","","","","","","","","21912.512845253","","","19208.386627451","","","","","","21894.028223899","","20300.251698495","","","","","","","","",""
"54","6/28/2015","0","0","0","0","0","2789","0","1","4","0","0","0","0","2","5","1","495","0","0","0","0","0","0","0","0","0","","","","","","84068","","","","","","","","","14515","","85660","","","","","","","","","","","","","","","1265","","","","","","","","","1239","","2647","","","","","","","","","","","","","","","53413.133739692","","","","","","","","","6288.2","","46219.733333333","","","","","","","","","","","","","","","27218.937545342","","","","","","","","","5508.0759980233","","22911.993611218","","","","","","","","",""
"55","6/29/2015","0","0","0","0","0","2232","0","7","4","0","0","1","0","7","5","1","447","0","0","0","2","0","0","0","0","0","","","","","","84313","","72332","","","","","","72332","73215","","86037","","","","","","","","","","","","","","","4466","","4468","","","","","","4468","4555","","1472","","","","","","","","","","","","","","","51619.60125448","","35162","","","","","","35162","42026","","44077.787472036","","","","","","","","","","","","","","","18620.525715573","","22003.193094034","","","","","","22003.193094034","34994.809629429","","24935.644237515","","","","","","","","",""
"56","6/30/2015","0","0","0","0","0","2817","0","5","18","0","0","0","0","5","18","3","452","0","0","0","0","0","0","0","0","0","","","","","","81515","","63689","81399","","","","","63689","81398","","85460","","","","","","","","","","","","","","","446","","8209","414","","","","","8209","414","","1802","","","","","","","","","","","","","","","51855.849485268","","41630.2","44629.722222222","","","","","41630.2","44629.666666667","","43235.654867257","","","","","","","","","","","","","","","23832.881486025","","22640.463493489","29193.860830874","","","","","22640.463493489","29193.786744282","","24824.920883092","","","","","","","","",""
